event,x,y,z,adc,zelem,layer
74,-0.995178,1.90378,1.29607,12,5,0
74,-1.18286,1.61509,1.38759,5,5,0
74,-1.32165,1.4016,1.74783,6,5,0
74,-1.07942,1.7742,1.94374,1,5,0
74,-1.1893,1.60518,2.02788,18,5,0
74,-1.26915,1.48235,2.08263,4,5,0
74,-1.38782,1.29981,2.53,4,5,0
74,-0.787135,2.2238,2.58848,4,5,0
74,-1.01745,1.86953,2.71772,10,5,0
74,-1.33191,1.38582,2.73419,3,5,0
74,-1.28649,1.45569,2.74101,3,5,0
74,-1.02741,1.8542,2.82532,4,5,0
74,-1.39075,1.2953,2.87211,4,5,0
74,-1.38751,1.30029,2.88443,7,5,0
74,-0.807815,2.19199,2.91001,13,5,0
74,-0.886761,2.07055,3.01075,12,5,0
74,-0.901412,2.04801,3.03,4,5,0
74,-1.24547,1.51879,3.64453,3,5,0
74,-0.995178,1.90378,1.29607,12,5,0
74,-0.973568,1.93702,4.41219,12,6,0
74,-1.09114,1.75617,4.71458,2,6,0
74,-0.780053,2.23469,5.12443,3,6,0
74,-1.02741,1.8542,5.44851,4,6,0
74,-0.816436,2.17872,5.51868,4,6,0
74,-0.849694,2.12757,5.66225,5,6,0
74,-0.977648,1.93075,5.81588,43,6,0
74,-1.32898,1.39033,6.2492,3,6,0
74,-1.09114,1.75617,4.71458,2,6,0
74,-0.780053,2.23469,5.12443,3,6,0
74,-1.02741,1.8542,5.44851,4,6,0
74,-0.816436,2.17872,5.51868,4,6,0
74,-0.849694,2.12757,5.66225,5,6,0
74,-0.977648,1.93075,5.81588,43,6,0
74,-1.32898,1.39033,6.2492,3,6,0
74,-0.858192,2.1145,6.31401,6,6,0
74,-1.3512,1.35615,6.42805,4,6,0
74,-0.858192,2.1145,6.31401,6,6,0
74,-1.49038,1.14206,5.95582,2,6,0
74,-0.892622,2.06154,6.14822,10,6,0
74,-0.823762,2.16746,5.69997,4,6,0
74,-1.49038,1.14206,5.95582,2,6,0
74,-1.45734,1.19288,6.14003,37,6,0
74,-0.892622,2.06154,6.14807,8,6,0
74,-1.45734,1.19288,6.14003,37,6,0
74,-1.13493,1.68881,8.23868,18,7,0
74,-1.09759,1.74625,8.62228,5,7,0
74,-1.13493,1.68881,8.23868,18,7,0
74,-1.09759,1.74625,8.62228,5,7,0
74,-1.50064,1.12628,8.82608,4,7,0
74,-1.50064,1.12628,8.82608,4,7,0
74,-0.974001,1.93636,9.05881,22,7,0
74,-1.12,1.71177,9.45708,10,7,0
74,-0.974008,1.93635,9.05869,20,7,0
74,-1.1202,1.71147,9.45621,6,7,0
74,-1.36658,1.33249,10.9478,1,8,0
74,-1.45302,1.19952,11.4018,8,8,0
74,-0.801786,2.20126,12.3075,4,8,0
74,-0.802274,2.20051,12.3075,6,8,0
74,-1.40272,1.2769,10.2967,3,8,0
74,-1.40272,1.2769,10.2967,3,8,0
74,-0.792507,2.21553,12.8333,6,8,0
74,-0.792507,2.21553,12.8333,6,8,0
74,-1.79777,0.539747,-13.7531,3,0,0
74,-1.78041,0.867864,-13.6379,7,0,0
74,-1.79294,0.631012,-11.4782,3,0,0
74,-1.78041,0.867864,-13.6379,7,0,0
74,-1.78752,0.73346,-13.969,4,0,0
74,-1.78354,0.808619,-13.6561,4,0,0
74,-1.79375,0.615663,-12.8841,13,0,0
74,-1.79862,0.523642,-12.8795,9,0,0
74,-1.78354,0.808619,-13.6561,4,0,0
74,-1.77467,0.976385,-13.2365,1,0,0
74,-1.79376,0.615476,-12.8841,11,0,0
74,-1.79863,0.523418,-12.8794,8,0,0
74,-1.77467,0.976385,-13.2365,1,0,0
74,-1.81526,0.209103,-10.5025,13,1,0
74,-1.81821,0.153371,-10.0447,23,1,0
74,-1.81527,0.208934,-10.5022,11,1,0
74,-1.82319,0.0592314,-7.83554,25,2,0
