event,x,y,z,adc,zelem,layer
74,28.9244,63.6201,61.9645,2251,0,49
74,21.7953,67.5579,60.2217,250,0,50
74,-30.0886,9.33366,3.96251,1422,1,7
74,-30.5805,9.65596,4.12356,2375,1,8
74,-31.0525,10.0356,4.23283,1049,1,9
74,-31.5448,10.3368,4.30925,2371,1,10
74,-32.0316,10.6726,4.39204,2489,1,11
74,-32.5134,11.0049,4.43228,1737,1,12
74,-32.9973,11.3493,4.57358,1892,1,13
74,-33.4754,11.6926,4.63736,1654,1,14
74,-33.9652,12.0196,4.71785,2729,1,15
74,-34.4303,12.4012,4.8224,2302,1,16
74,-34.8876,12.8097,4.89071,2107,1,17
74,-35.3594,13.15,4.94664,1513,1,18
74,-35.8198,13.5358,5.03558,1982,1,19
74,-36.2864,13.8895,4.97501,6247,1,20
74,-36.7517,14.2626,5.04939,5364,1,21
74,-37.1766,14.7234,5.28839,3058,1,22
74,-38.5799,15.7334,5.55171,5768,1,23
74,-39.3893,16.4531,5.73701,4828,1,24
74,-40.1832,17.1831,5.94355,3365,1,25
74,-40.9539,17.9658,6.11044,2479,1,26
74,-41.7432,18.7064,6.23624,4982,1,27
74,-42.4905,19.5424,6.49719,6046,1,28
74,-43.2496,20.3351,6.61539,4741,1,29
74,-44.009,21.1028,6.77002,3414,1,30
74,-44.7268,21.9551,6.91492,4140,1,31
74,-45.4586,22.7788,7.1027,4180,1,32
74,-46.1723,23.6394,7.29312,3848,1,33
74,-46.842,24.5725,7.40551,5911,1,34
74,-47.511,25.4753,7.63893,2550,1,35
74,-48.1744,26.3882,7.828,5368,1,36
74,-48.8432,27.2912,8.00027,5729,1,37
74,-49.451,28.3053,8.22966,4367,1,38
74,-50.6784,30.0427,8.54329,5049,1,39
74,-51.3385,31.0697,8.7878,6193,1,40
74,-51.9123,32.2388,9.02384,6118,1,41
74,-52.4859,33.4082,9.10002,6162,1,42
74,-53.0511,34.5389,9.29804,7490,1,43
74,-53.6089,35.6787,9.48497,4203,1,44
74,-54.0995,36.9191,9.71101,4209,1,45
74,-54.6196,38.1154,9.91706,4152,1,46
74,-55.0573,39.3815,10.1288,4497,1,47
74,-55.5405,40.5778,10.3154,3659,1,48
74,-56.0324,41.7622,10.4392,6792,1,49
74,-56.3578,43.1738,10.8434,2854,1,50
74,-56.7359,44.4592,11.2,6034,1,51
74,-57.0622,45.8053,11.2213,4163,1,52
74,-57.3972,47.1407,11.4497,2899,1,53
74,-57.7428,48.4621,11.5465,4752,1,54
74,-27.0977,16.0613,84.6304,1186,1,7
74,-27.4175,16.6197,84.3544,153,1,8
74,-27.7123,17.2306,84.3088,298,1,9
74,-28.0015,17.8393,84.2714,637,1,10
74,-28.3469,18.3464,84.2708,63,1,11
74,-28.6596,18.8919,83.9465,758,1,12
74,-29.0544,19.3251,83.8944,295,1,13
74,-29.4233,19.7865,83.5923,41,1,14
74,-29.7473,20.3256,83.6531,236,1,15
74,-30.1282,20.769,83.4799,417,1,16
74,-30.5523,21.1583,83.3974,360,1,17
74,-30.9229,21.6171,83.2699,392,1,18
74,-31.3349,22.0194,83.1867,852,1,19
74,-31.7353,22.4257,83.0534,435,1,20
74,-32.1543,22.8163,82.9266,429,1,21
74,-32.5347,23.2498,82.6645,471,1,22
74,-34.0025,24.0789,82.5184,524,1,23
74,-34.831,24.6751,82.1848,936,1,24
74,-35.7418,25.1591,82.1188,364,1,25
74,-36.6619,25.6277,81.7438,502,1,26
74,-37.6139,26.0402,81.6248,813,1,27
74,-38.5452,26.4836,81.4449,439,1,28
74,-39.6205,26.7115,81.1553,381,1,29
74,-40.5864,27.1031,81.1876,52,1,30
74,-41.7782,27.1566,80.6207,218,1,31
74,-42.8519,27.3869,80.4544,587,1,32
74,-44.1296,27.255,79.6444,4243,1,33
74,-45.1163,27.5965,79.8566,751,1,34
74,-46.4037,27.4424,79.6581,1447,1,35
74,-47.7068,27.2404,79.3913,764,1,36
74,-48.9378,27.1187,79.2029,797,1,37
74,-50.1708,26.9932,78.9044,450,1,38
74,-52.8917,25.9419,78.4127,156,1,39
74,-54.4063,25.3491,78.1152,763,1,40
74,-56.0331,24.376,77.3957,229,1,41
74,-57.6741,23.3126,77.1844,847,1,42
74,-59.4399,21.7988,76.6455,1394,1,43
74,-61.1586,20.1694,76.2542,1603,1,44
74,-63.0444,17.7519,75.5306,179,1,45
74,-65.4682,1.86394,72.5574,129,1,45
74,-65.5922,11.5762,74.4495,1184,1,46
74,-66.1143,7.98187,73.8006,1506,1,46
74,-27.7089,14.98,-37.6842,262,1,7
74,-27.9888,15.6405,-37.3673,47,1,8
74,-28.3045,16.2478,-37.3522,284,1,9
74,-28.5651,16.9105,-37.2663,332,1,10
74,-28.8945,17.4643,-37.0009,243,1,11
74,-29.1919,18.0596,-36.9202,774,1,12
74,-29.4863,18.6711,-36.6067,214,1,13
74,-30.0953,18.7529,-38.7695,1144,1,14
74,-29.9792,19.9785,-36.4766,517,1,15
74,-30.2057,20.6531,-36.0956,33,1,16
74,-30.4554,21.3034,-35.986,240,1,17
74,-30.6006,22.0588,-35.7716,407,1,18
74,-30.9125,22.5956,-35.6651,467,1,19
74,-31.0866,23.3103,-35.4651,676,1,20
74,-31.327,23.9446,-35.3769,484,1,21
74,-31.5372,24.5875,-35.2046,447,1,22
74,-32.0818,26.5832,-34.5327,73,1,23
74,-32.4178,27.7653,-34.1926,442,1,24
74,-32.6614,29.0355,-33.8037,134,1,25
74,-33.0745,30.1124,-33.7558,354,1,26
74,-33.3042,31.3576,-33.5491,73,1,27
74,-33.4715,32.6589,-33.074,159,1,28
74,-33.1722,34.3931,-32.8226,241,1,29
74,-33.9607,35.0512,-32.4842,69,1,30
74,-33.8059,36.6124,-32.0714,380,1,31
74,-33.508,38.2423,-31.6136,1250,1,32
74,-33.5455,39.567,-31.222,818,1,33
74,-33.572,40.8692,-30.7918,367,1,34
74,-33.2285,42.4537,-30.3267,494,1,35
74,-33.0108,43.907,-30.0236,416,1,36
74,-32.8545,45.2873,-29.6972,763,1,37
74,-32.5903,46.7406,-29.252,431,1,38
74,-31.4241,49.8402,-28.4123,504,1,39
74,-31.3339,51.1782,-28.3881,892,1,40
74,-30.5944,52.9101,-27.2362,266,0,41
74,-29.9193,54.5338,-27.3548,1002,1,42
74,-29.1344,56.2102,-26.6409,957,1,43
74,-28.2985,57.8456,-26.0507,752,1,44
74,-27.5704,59.4217,-25.6449,681,1,45
74,-26.0789,61.2765,-24.9336,2172,1,46
74,-25.0568,62.8812,-24.5166,3789,1,47
74,-23.453,64.6781,-23.6811,1099,1,48
74,-22.119,66.2895,-23.1751,189,1,49
74,-17.6097,69.893,-21.6531,926,1,51
74,-15.3464,71.5535,-20.7281,834,1,52
74,-13.2699,73.0851,-20.084,124,1,53
74,-10.5623,74.6285,-19.3026,520,1,54
74,-25.5256,18.4563,-43.0477,176,1,7
74,-25.8981,18.9005,-42.7467,1129,1,8
74,-26.3111,19.2994,-42.4888,168,1,9
74,-26.6918,19.7324,-41.8273,60,1,10
74,-27.1102,20.1238,-41.666,1770,1,11
74,-27.4938,20.5529,-41.453,494,1,12
74,-27.8359,21.0484,-41.0351,181,1,13
74,-28.3195,21.3412,-41.0148,143,1,14
74,-28.7206,21.7562,-40.388,192,1,15
74,-29.1093,22.1783,-40.2635,454,1,16
74,-29.4932,22.617,-39.8311,117,1,17
74,-29.9049,23.0043,-39.2743,85,1,18
74,-30.2947,23.4275,-39.0663,405,1,19
74,-30.6755,23.8526,-38.8155,459,1,20
74,-31.053,24.2912,-38.423,498,1,21
